Generation 12 | Average Generation Fitness: 0.7942034392727381 | Best Fitness: 0.8318703349446215 | Population Length: 200
Generation 13 | Average Generation Fitness: 0.7969016767225449 | Best Fitness: 0.8321545435717537 | Population Length: 200
Generation 14 | Average Generation Fitness: 0.7860036745944257 | Best Fitness: 0.8324260234796265 | Population Length: 200
Generation 15 | Average Generation Fitness: 0.7904377695254382 | Best Fitness: 0.8325005587797129 | Population Length: 200
Generation 16 | Average Generation Fitness: 0.7926610835679054 | Best Fitness: 0.8327278855537145 | Population Length: 200
Generation 17 | Average Generation Fitness: 0.795508671675504 | Best Fitness: 0.8330014496392455 | Population Length: 200
Generation 18 | Average Generation Fitness: 0.7954986508533447 | Best Fitness: 0.8330039414668665 | Population Length: 200
Generation 19 | Average Generation Fitness: 0.7963567820573565 | Best Fitness: 0.833076356111787 | Population Length: 200
Generation 20 | Average Generation Fitness: 0.7921346280146505 | Best Fitness: 0.8331204331305145 | Population Length: 200
Generation 21 | Average Generation Fitness: 0.7912464389598945 | Best Fitness: 0.8331290468319471 | Population Length: 200
Generation 22 | Average Generation Fitness: 0.7919517800319693 | Best Fitness: 0.8331598696725705 | Population Length: 200
Generation 23 | Average Generation Fitness: 0.797697426617879 | Best Fitness: 0.833187783913151 | Population Length: 200
Generation 24 | Average Generation Fitness: 0.7947440053139486 | Best Fitness: 0.8331971931059375 | Population Length: 200
Generation 25 | Average Generation Fitness: 0.7960459797682179 | Best Fitness: 0.8331971931059375 | Population Length: 200
Generation 26 | Average Generation Fitness: 0.7860149707728666 | Best Fitness: 0.8332239171235515 | Population Length: 200
Generation 27 | Average Generation Fitness: 0.7964289433003277 | Best Fitness: 0.8332239171235515 | Population Length: 200
Generation 28 | Average Generation Fitness: 0.7906183610350452 | Best Fitness: 0.8332239171235515 | Population Length: 200
Generation 29 | Average Generation Fitness: 0.7972279890467171 | Best Fitness: 0.8332532601606565 | Population Length: 200
Generation 30 | Average Generation Fitness: 0.791752621717294 | Best Fitness: 0.8332695722941155 | Population Length: 200
Generation 31 | Average Generation Fitness: 0.7949296256256563 | Best Fitness: 0.8332832975902967 | Population Length: 200
Generation 32 | Average Generation Fitness: 0.7941354133555478 | Best Fitness: 0.8333065532748243 | Population Length: 200
Generation 33 | Average Generation Fitness: 0.7906304947913069 | Best Fitness: 0.8333080924566537 | Population Length: 200
Generation 34 | Average Generation Fitness: 0.7936199220204098 | Best Fitness: 0.8333080924566537 | Population Length: 200
Generation 35 | Average Generation Fitness: 0.7964582119497255 | Best Fitness: 0.8333137739804493 | Population Length: 200
Generation 36 | Average Generation Fitness: 0.7925968505010604 | Best Fitness: 0.8333142681783067 | Population Length: 200
Generation 37 | Average Generation Fitness: 0.7927830888036321 | Best Fitness: 0.8333225609301319 | Population Length: 200
Generation 38 | Average Generation Fitness: 0.7963273190104243 | Best Fitness: 0.8333225609301319 | Population Length: 200
Generation 39 | Average Generation Fitness: 0.7937256348198918 | Best Fitness: 0.8333225609301319 | Population Length: 200
Generation 40 | Average Generation Fitness: 0.7960737038301055 | Best Fitness: 0.8333225609301319 | Population Length: 200
Generation 41 | Average Generation Fitness: 0.7942763929593281 | Best Fitness: 0.8333225609301319 | Population Length: 200
Generation 42 | Average Generation Fitness: 0.7935131656938829 | Best Fitness: 0.8333225609301319 | Population Length: 200
Generation 43 | Average Generation Fitness: 0.79528928404357 | Best Fitness: 0.8333225609301319 | Population Length: 200
Generation 44 | Average Generation Fitness: 0.7911207179560792 | Best Fitness: 0.8333225609301319 | Population Length: 200
Generation 45 | Average Generation Fitness: 0.7979675705809042 | Best Fitness: 0.8333225609301319 | Population Length: 200
Generation 46 | Average Generation Fitness: 0.7959174250932489 | Best Fitness: 0.8333225609301319 | Population Length: 200
Generation 47 | Average Generation Fitness: 0.7954915302945682 | Best Fitness: 0.8333225609301319 | Population Length: 200
Generation 48 | Average Generation Fitness: 0.7921027305037823 | Best Fitness: 0.8333253979379639 | Population Length: 200
Generation 49 | Average Generation Fitness: 0.7926987757012971 | Best Fitness: 0.833326116431624 | Population Length: 200
Generation 50 | Average Generation Fitness: 0.7933033743293189 | Best Fitness: 0.833326116431624 | Population Length: 200
Generation 51 | Average Generation Fitness: 0.7864373036209256 | Best Fitness: 0.833326116431624 | Population Length: 200
Generation 1 | Average Generation Fitness: 0.7687330314846612 | Best Fitness: 0.8023010997416049 | Population Length: 200
Generation 2 | Average Generation Fitness: 0.7695579922150523 | Best Fitness: 0.8224722839913511 | Population Length: 200
Generation 3 | Average Generation Fitness: 0.7844002046168189 | Best Fitness: 0.8277700912947181 | Population Length: 200
Generation 4 | Average Generation Fitness: 0.7905499727062899 | Best Fitness: 0.830005303961505 | Population Length: 200
Generation 5 | Average Generation Fitness: 0.7913445069803038 | Best Fitness: 0.8303196202814528 | Population Length: 200
Generation 6 | Average Generation Fitness: 0.7907370950745444 | Best Fitness: 0.8313939584286495 | Population Length: 200
Generation 7 | Average Generation Fitness: 0.7859300583345973 | Best Fitness: 0.8321798831052982 | Population Length: 200
Generation 8 | Average Generation Fitness: 0.7914674877296392 | Best Fitness: 0.8325461729031551 | Population Length: 200
Generation 9 | Average Generation Fitness: 0.7934193538590649 | Best Fitness: 0.8327476363115076 | Population Length: 200
Generation 10 | Average Generation Fitness: 0.7957594930187823 | Best Fitness: 0.8327536234894454 | Population Length: 200
Generation 11 | Average Generation Fitness: 0.7937708870079628 | Best Fitness: 0.8328329917191241 | Population Length: 200
Generation 12 | Average Generation Fitness: 0.796210786291708 | Best Fitness: 0.8329565650619727 | Population Length: 200
Generation 13 | Average Generation Fitness: 0.7935874644719191 | Best Fitness: 0.8331136090206442 | Population Length: 200
Generation 14 | Average Generation Fitness: 0.7855944114939107 | Best Fitness: 0.8331670931452689 | Population Length: 200
Generation 15 | Average Generation Fitness: 0.786575424698349 | Best Fitness: 0.833199083003253 | Population Length: 200
Generation 16 | Average Generation Fitness: 0.791702209548331 | Best Fitness: 0.8332595273787134 | Population Length: 200
Generation 17 | Average Generation Fitness: 0.7906623078964617 | Best Fitness: 0.8332595273787134 | Population Length: 200
Generation 18 | Average Generation Fitness: 0.7933782836707611 | Best Fitness: 0.8332595273787134 | Population Length: 200
Generation 19 | Average Generation Fitness: 0.7902566799921051 | Best Fitness: 0.8332618559537214 | Population Length: 200
Generation 20 | Average Generation Fitness: 0.7961473622642096 | Best Fitness: 0.833286422815467 | Population Length: 200
Generation 21 | Average Generation Fitness: 0.7939081999072667 | Best Fitness: 0.8333003913846434 | Population Length: 200
Generation 22 | Average Generation Fitness: 0.7949943346056013 | Best Fitness: 0.8333003913846434 | Population Length: 200
Generation 23 | Average Generation Fitness: 0.7918277860625849 | Best Fitness: 0.8333072986538159 | Population Length: 200
Generation 24 | Average Generation Fitness: 0.797359465482129 | Best Fitness: 0.833314599941584 | Population Length: 200
Generation 25 | Average Generation Fitness: 0.7931177370920615 | Best Fitness: 0.8333158614329764 | Population Length: 200
Generation 26 | Average Generation Fitness: 0.7938006388600648 | Best Fitness: 0.8333158614329764 | Population Length: 200
Generation 27 | Average Generation Fitness: 0.7942519018206164 | Best Fitness: 0.8333176319615523 | Population Length: 200
Generation 28 | Average Generation Fitness: 0.792000464733394 | Best Fitness: 0.8333176319615523 | Population Length: 200
Generation 29 | Average Generation Fitness: 0.790995423996458 | Best Fitness: 0.8333176319615523 | Population Length: 200
Generation 30 | Average Generation Fitness: 0.7963235899794289 | Best Fitness: 0.8333277275166735 | Population Length: 200
Generation 31 | Average Generation Fitness: 0.79187041653551 | Best Fitness: 0.8333277299268895 | Population Length: 200
Generation 32 | Average Generation Fitness: 0.7918149624291828 | Best Fitness: 0.8333279544054332 | Population Length: 200
Generation 33 | Average Generation Fitness: 0.7996590465907955 | Best Fitness: 0.8333307363601791 | Population Length: 200
Generation 34 | Average Generation Fitness: 0.7882266895959343 | Best Fitness: 0.8333311508032325 | Population Length: 200
Generation 35 | Average Generation Fitness: 0.7938990965478591 | Best Fitness: 0.8333311508032325 | Population Length: 200
Generation 36 | Average Generation Fitness: 0.796746105098614 | Best Fitness: 0.8333311508032325 | Population Length: 200
Generation 37 | Average Generation Fitness: 0.7971704304105282 | Best Fitness: 0.8333311508032325 | Population Length: 200
Generation 38 | Average Generation Fitness: 0.7884167960799289 | Best Fitness: 0.8333311508032325 | Population Length: 200
Generation 39 | Average Generation Fitness: 0.792306361441217 | Best Fitness: 0.8333311508032325 | Population Length: 200
Generation 40 | Average Generation Fitness: 0.7902553821343525 | Best Fitness: 0.8333312495002949 | Population Length: 200
Generation 41 | Average Generation Fitness: 0.7897644450540663 | Best Fitness: 0.8333312495002949 | Population Length: 200
Generation 42 | Average Generation Fitness: 0.7929635118822036 | Best Fitness: 0.8333312495002949 | Population Length: 200
Generation 43 | Average Generation Fitness: 0.7938110734484246 | Best Fitness: 0.8333312495002949 | Population Length: 200
Generation 44 | Average Generation Fitness: 0.7903504547742162 | Best Fitness: 0.8333312495002949 | Population Length: 200
Generation 45 | Average Generation Fitness: 0.7908035033177201 | Best Fitness: 0.8333312495002949 | Population Length: 200
Generation 46 | Average Generation Fitness: 0.790544389035375 | Best Fitness: 0.833331273675078 | Population Length: 200
Generation 47 | Average Generation Fitness: 0.7932338057092625 | Best Fitness: 0.833331273675078 | Population Length: 200
Generation 48 | Average Generation Fitness: 0.7907593070632032 | Best Fitness: 0.833331273675078 | Population Length: 200
Generation 49 | Average Generation Fitness: 0.7854103462455819 | Best Fitness: 0.833331273675078 | Population Length: 200
Generation 50 | Average Generation Fitness: 0.7915859627256822 | Best Fitness: 0.8333312975453808 | Population Length: 200
Generation 51 | Average Generation Fitness: 0.7908518608197004 | Best Fitness: 0.8333314749214105 | Population Length: 200
Generation 52 | Average Generation Fitness: 0.7941021245949714 | Best Fitness: 0.8333315090313423 | Population Length: 200
Generation 1 | Average Generation Fitness: 0.7190680508395001 | Best Fitness: 0.8106982892343416 | Population Length: 200
Generation 2 | Average Generation Fitness: 0.7812827082765308 | Best Fitness: 0.8222130525507528 | Population Length: 200
